Distance (m),2 h,4 h,6 h,8 h,10 h,12 h
0.02845691382765531,1.3126062984035883e-09,1.65824683231634e-07,2.148563712026369e-06,4.64029140952456e-06,3.862122926313301e-06,2.2724058378238297e-06
0.028857715430861724,1.113476238038943e-09,1.6287298360622164e-07,2.1660766172768223e-06,4.624382940179593e-06,3.824111473090005e-06,2.2717500910354288e-06
0.029258517034068135,9.248760425265364e-10,1.6040072769004558e-07,2.1856644129671623e-06,4.610199717448273e-06,3.7830807329652404e-06,2.2709735728622078e-06
0.02965931863727455,7.620855319265642e-10,1.584730456859595e-07,2.2069374210954243e-06,4.598537667230552e-06,3.7403483959556792e-06,2.27007717725559e-06
0.03006012024048096,6.403845262992278e-10,1.5715506779681703e-07,2.229505963659642e-06,4.590192715426383e-06,3.697232152077998e-06,2.269061798167e-06
0.030460921843687375,5.750528457047245e-10,1.5651192422547192e-07,2.2529803626578502e-06,4.585960787935718e-06,3.6550496913488697e-06,2.2679283295478623e-06
0.030861723446893786,5.658298941765178e-10,1.573620158636638e-07,2.28097251361968e-06,4.58579406071509e-06,3.61139055686056e-06,2.2619670012905164e-06
0.0312625250501002,5.623308131666005e-10,1.6224040068600955e-07,2.326391705980059e-06,4.5868464228739024e-06,3.554662104164728e-06,2.2353481957706285e-06
0.031663326653306616,5.592043845269669e-10,1.7062577766682951e-07,2.38612919304831e-06,4.588622666696187e-06,3.4875580169594732e-06,2.1908844541912187e-06
0.03206412825651302,5.564539633058724e-10,1.8169869309769285e-07,2.4555020040659806e-06,4.590914143937766e-06,3.4142104734784297e-06,2.1332320263317672e-06
0.03246492985971944,5.540829045515728e-10,1.9463969327016928e-07,2.5298271682746214e-06,4.593512206354463e-06,3.338751651955225e-06,2.0670471619717502e-06
0.03286573146292585,5.520945633123239e-10,2.08629324475828e-07,2.6044217149157796e-06,4.596208205702099e-06,3.265313730623493e-06,1.9969861108906483e-06
0.03326653306613227,5.504922946363813e-10,2.2284813300623834e-07,2.674602673231004e-06,4.5987934937364985e-06,3.198028887716864e-06,1.9277051228679393e-06
0.033667334669338675,5.492794535720008e-10,2.3647666515296942e-07,2.7356870724618418e-06,4.601059422213484e-06,3.1410293014689703e-06,1.8638604476831035e-06
0.03406813627254509,5.484593951674378e-10,2.486954672075911e-07,2.7829919418498423e-06,4.602797342888879e-06,3.0984471501134427e-06,1.8101083351156178e-06
0.034468937875751504,5.480354744709484e-10,2.586850854616724e-07,2.8118343106365546e-06,4.603798607518505e-06,3.0744146118839127e-06,1.7711050349449615e-06
0.03486973947895792,5.524292748900895e-10,2.658848759392817e-07,2.8199663089194075e-06,4.603893347138382e-06,3.0706330263352934e-06,1.74938137692778e-06
0.035270541082164326,5.933932487769025e-10,2.71827439091155e-07,2.8232784689395844e-06,4.603293668697939e-06,3.070962227008272e-06,1.7315934308245408e-06
0.03567134268537074,6.712869394895329e-10,2.7706608721270567e-07,2.8257290554065736e-06,4.6021842702420435e-06,3.071636455826822e-06,1.714736822558378e-06
0.036072144288577156,7.788608402463828e-10,2.8178331247588907e-07,2.8275504969054814e-06,4.600704684065426e-06,3.072649613208282e-06,1.6990526299870826e-06
0.03647294589178357,9.088654442658546e-10,2.8616160705266054e-07,2.828975222021412e-06,4.598994442462824e-06,3.073995599569989e-06,1.6847819309684452e-06
0.03687374749498998,1.054051244766348e-09,2.9038346311497535e-07,2.830235659339469e-06,4.597193077728967e-06,3.0756683153292824e-06,1.6721658033602562e-06
0.03727454909819639,1.2071687349662706e-09,2.9463137283478875e-07,2.8315642374447587e-06,4.595440122158588e-06,3.0776616609034987e-06,1.6614453250203058e-06
0.03767535070140281,1.3609684080840225e-09,2.9908782838405604e-07,2.8331933849223845e-06,4.593875108046421e-06,3.0799695367099764e-06,1.6528615738063844e-06
0.03807615230460922,1.5082007573380061e-09,3.0393532193473265e-07,2.8353555303574515e-06,4.592637567687199e-06,3.0825858431660535e-06,1.6466556275762826e-06
0.03847695390781563,1.641616275946622e-09,3.0935634565877356e-07,2.8382831023350637e-06,4.591867033375653e-06,3.0855044806890665e-06,1.6430685641877905e-06
0.038877755511022044,1.7550532112689876e-09,3.155898989771964e-07,2.84269964222695e-06,4.59252231953598e-06,3.089665143389235e-06,1.6425826340082392e-06
0.03927855711422846,1.865604127737772e-09,3.237973605635278e-07,2.858315783415142e-06,4.610722142765118e-06,3.1135638097005323e-06,1.6500217512561374e-06
0.039679358717434866,1.979700357174515e-09,3.3388454689177587e-07,2.8863141649163142e-06,4.648770148614642e-06,3.1598842588966846e-06,1.6658459182932675e-06
0.04008016032064128,2.0949476092212293e-09,3.451981799833233e-07,2.9233601209786818e-06,4.701493140550518e-06,3.222698395684106e-06,1.688271567339851e-06
0.040480961923847696,2.2089515935199237e-09,3.5708498185955197e-07,2.966118985850457e-06,4.763717922038708e-06,3.296078124769209e-06,1.7155151306161097e-06
0.04088176352705411,2.3193180197126065e-09,3.688916745418441e-07,3.011256093779854e-06,4.830271296545174e-06,3.374095350858405e-06,1.7457930403422644e-06
0.04128256513026052,2.4236525974412868e-09,3.7996498005158175e-07,3.055436779015085e-06,4.895980067535877e-06,3.450821978658106e-06,1.7773217287385364e-06
0.04168336673346693,2.5195610363479773e-09,3.8965162041014743e-07,3.095326375804364e-06,4.955671038476785e-06,3.5203299128747276e-06,1.8083176280251477e-06
0.04208416833667335,2.6046490460746858e-09,3.9729831763892333e-07,3.1275902183959047e-06,5.0041710128338546e-06,3.57669105821468e-06,1.836997170422319e-06
0.04248496993987976,2.676522336263422e-09,4.0225179375929144e-07,3.1488936410379197e-06,5.036306794073052e-06,3.6139773193843755e-06,1.8615767881502714e-06
0.04288577154308617,2.7328056961150793e-09,4.0383823339410256e-07,3.1556735000091206e-06,5.046631781444411e-06,3.6262189445418595e-06,1.880284718192167e-06
