Time (h),CSF_modelA_conc_mmol_l,CSF_LargePVSA_conc_mmol_l,CSF_modelA-strongVM_conc_mmol_l,CSF_LargePVS_conc_mmol_l,parenchyma_modelA_conc_mmol_l,parenchyma_LargePVSA_conc_mmol_l,parenchyma_modelA-strongVM_conc_mmol_l,parenchyma_LargePVS_conc_mmol_l,PVS_artery_modelA_conc_mmol_l,PVS_artery_LargePVSA_conc_mmol_l,PVS_artery_modelA-strongVM_conc_mmol_l,PVS_artery_LargePVS_conc_mmol_l,PVS_vein_modelA_conc_mmol_l,PVS_vein_LargePVSA_conc_mmol_l,PVS_vein_modelA-strongVM_conc_mmol_l,PVS_vein_LargePVS_conc_mmol_l
13.3,0.7048056466276678,0.628584401381876,0.5673770632340353,0.5572713047210829,0.2080483560475247,0.14517533436591162,0.3425553101171128,0.1846156359680227,1.5717999798875264,1.2110869124310963,0.5681480320967022,1.0976555652187567,0.7141172786299782,0.5086453957089193,0.5536970099481426,0.6123701695992639
13.333333333333334,0.7030241344825165,0.6270188058611105,0.5653754490710539,0.5558814245267905,0.20839067562086802,0.14541038480480728,0.3430626197773739,0.18500267688146468,1.5676127886790916,1.2099654264728426,0.5647091657145167,1.0950850833734056,0.7135635816192601,0.5086331126991274,0.5523427270869812,0.6118733901484962
13.366666666666667,0.7012451902061229,0.6254577327612192,0.5633790424292593,0.5544959475982824,0.20873198535188456,0.14564537849079628,0.34356647917399274,0.185388848899424,1.563395507779836,1.2088245251886829,0.5612760954978671,1.0925011235933877,0.7130070604983607,0.508615031111338,0.5509912843146277,0.6113713095805069
13.4,0.6994688423613122,0.623901183201427,0.5613878848078409,0.5531148783683799,0.2090722718031208,0.14588031082252093,0.3440668643514487,0.18577413193251585,1.559148852377008,1.2076642312276349,0.5578493201021779,1.0899038655706816,0.7124476232466276,0.5085912379452997,0.5496426689198793,0.6108639727349238
13.433333333333334,0.6976951178019164,0.6223491570046257,0.5594020156688414,0.5517382195885533,0.20941152130752716,0.1461151767152438,0.3445637517924247,0.18615850586181049,1.554873545213575,1.206484576039464,0.554429330905705,1.0872934945475088,0.7118851775834878,0.5085618176581191,0.5482968677752048,0.6103514230309935
13.466666666666667,0.69592404168453,0.6208016527129105,0.5574214724498631,0.5503659723465172,0.2097497199867639,0.14634997061993754,0.3450571184458052,0.1865419505616112,1.5505703159785464,1.2052855996962268,0.5510166116648395,1.084670201062383,0.711319631175544,0.5085268522153451,0.5469538674168795,0.6098337025439518
13.5,0.694155637481301,0.6192586676037936,0.5554462905788345,0.5489981360846421,0.21008685376910347,0.14658468654215728,0.34554694175351647,0.18692444592136526,1.5462399007015475,1.20406735071118,0.5476116381913512,1.0820341806986389,0.7107508918393178,0.5084864211443577,0.5456136541238252,0.6093108520810718
13.533333333333333,0.6923899269952678,0.6177201977069813,0.553476503490322,0.5476347086197816,0.21042290840726197,0.14681931806063309,0.3460331996760069,0.18730597186710732,1.541883041151963,1.2028298858558453,0.5442148780512627,1.079385633835571,0.7101788677396692,0.5084406015897587,0.5442762139950104,0.6087829112572929
13.566666666666666,0.6906269303776532,0.616186237821533,0.5515121426434084,0.546275686164035,0.2107578694957851,0.1470538583456267,0.34651587071618817,0.18768650838200235,1.5375004842432296,1.2015732699748558,0.5408267902850159,1.0767247654024672,0.7096034675834691,0.5083894683706883,0.5429415330253653,0.6082499185704047
13.6,0.6888666661467902,0.6146567815334787,0.5495532375412956,0.5449210633467796,0.2110917224882078,0.1472883001769841,0.34699493394224146,0.18806603552632944,1.5330929814429421,1.2002975757991554,0.5374478251485998,1.0740517846356143,0.709024600808357,0.5083330940398445,0.5416095971799002,0.6077119114754617
13.633333333333333,0.6871091512092039,0.6131318212343089,0.5475998157522779,0.5435708332376564,0.2114244527139897,0.14752263596195966,0.34747036900912254,0.1884445334566675,1.5286612881891017,1.1990028837575786,0.5340784238751665,1.0713669048383898,0.7084421777663462,0.5082715489440928,0.5402803924662057,0.6071689264585959
13.666666666666666,0.6853544008821205,0.6116113481393964,0.5456519029323028,0.5422249873706795,0.21175604539494247,0.14775685775271433,0.3479421561783622,0.1888219824443722,1.5242061633130306,1.1976892817870999,0.530719018456902,1.0686703431448283,0.7078561099020974,0.5082049012864236,0.5389539050048977,0.6066209991098733
13.7,0.6836024289177858,0.6100953523071686,0.5437095228487511,0.5408835157690608,0.2120864856615457,0.14799095726341574,0.34841027633691907,0.18919836289330066,1.5197283684698268,1.1963568651418026,0.5273700314464671,1.0659623202864492,0.7072663099256213,0.5081332171891892,0.5376301210981793,0.6060681641952596
13.733333333333333,0.6818532475294635,0.6085838226587499,0.5417726974056386,0.5395464069712448,0.21241575856874245,0.14822492588726435,0.34887471101451467,0.18957365535686624,1.5152286675762465,1.1950057362009625,0.5240318757778988,1.0632430603628704,0.7066726919792585,0.5080565607584011,0.5363090272961478,0.6055104557274944
13.766666666666667,0.6801068674187434,0.6070767469976955,0.5398414466700721,0.5382136480574894,0.21274384911149194,0.14845875471284042,0.3493354423995887,0.1899478405542797,1.5107078262571385,1.1936360042763468,0.5207049546062038,1.060512790616058,0.7060751717986556,0.5079749941489083,0.5349906104609661,0.6049479070357685
13.8,0.6783632978042995,0.6055741120304434,0.5379157888999279,0.5368852246776087,0.21307074223994543,0.14869243454037673,0.34979245335426745,0.19032089938604907,1.5061666113005328,1.1922477854188986,0.5173896611653571,1.057771741208531,0.7054736668677516,0.507888577630336,0.5336748578286573,0.604380550834269
13.833333333333334,0.6766225464522219,0.6040759033870187,0.5359957405725232,0.5355611210793156,0.21339642287421046,0.14892595589768326,0.3502457274275753,0.19069281294887075,1.5016057901219353,1.190841202225036,0.5140863786441717,1.0550201450055217,0.7048680965673899,0.5077973696536581,0.5323617570683916,0.6038084192892311
13.866666666666667,0.6748846197074762,0.6025821056419784,0.5340813164146512,0.5342413201371827,0.21372087591878772,0.14915930905550723,0.3506952488678873,0.1910635625495631,1.4970261302383538,1.1894163836428036,0.5107954800795225,1.052258237361261,0.7042583823176565,0.5077014269181471,0.531051296339339,0.6032315440846756
13.9,0.6731495225264127,0.6010927023359018,0.5321725294334333,0.5329258033827201,0.2140440862766243,0.14939248404281386,0.35114100263372205,0.1914331297184772,1.492428398752451,1.1879734647780487,0.5075173282664509,1.0494862559096105,0.7036444477135178,0.5076008044386784,0.5297434643448117,0.6026499564865656
13.933333333333334,0.6714172585109264,0.5996076759970363,0.5302693909480813,0.531614551034505,0.2143660388627815,0.1496254706614417,0.35158297440361774,0.1918014962221403,1.4878133618472253,1.1865125867007142,0.5042522756845872,1.046704440358837,0.7030262186539823,0.5074955556131283,0.5284382503837379,0.6020636874053781
13.966666666666667,0.6696878299430529,0.5981270081632901,0.5283719106229064,0.5303075420296058,0.21468671861769084,0.14985825850069773,0.35202115058466443,0.19216864407505532,1.4831817842915993,1.185033896251575,0.5010006644403743,1.0439130322910442,0.7024036234643949,0.5073857322898178,0.5271356443992808,0.6014727674570665
