Time (h),BA_PVS_concentration_mmol_l,BA_outside_PVS_concentration_mmol_l,BA_peak_time_h,BA_lag_time_h,BA_FTA_time_h,MCA-L_PVS_concentration_mmol_l,MCA-L_outside_PVS_concentration_mmol_l,MCA-L_peak_time_h,MCA-L_lag_time_h,MCA-L_FTA_time_h,MCA-R_PVS_concentration_mmol_l,MCA-R_outside_PVS_concentration_mmol_l,MCA-R_peak_time_h,MCA-R_lag_time_h,MCA-R_FTA_time_h,MCA2-L_PVS_concentration_mmol_l,MCA2-L_outside_PVS_concentration_mmol_l,MCA2-L_peak_time_h,MCA2-L_lag_time_h,MCA2-L_FTA_time_h,MCA2-R_PVS_concentration_mmol_l,MCA2-R_outside_PVS_concentration_mmol_l,MCA2-R_peak_time_h,MCA2-R_lag_time_h,MCA2-R_FTA_time_h,ACA-A2_PVS_concentration_mmol_l,ACA-A2_outside_PVS_concentration_mmol_l,ACA-A2_peak_time_h,ACA-A2_lag_time_h,ACA-A2_FTA_time_h,ACA-A3_PVS_concentration_mmol_l,ACA-A3_outside_PVS_concentration_mmol_l,ACA-A3_peak_time_h,ACA-A3_lag_time_h,ACA-A3_FTA_time_h
8.8,0.054858655224669615,0.07538100377958963,,,,2.8009290116237864,3.2207485000242353,,,,1.338816068653273,3.5618332713295575,,,,8.286904214933156,8.118235788677458,,,,5.167607637423496,5.117844474588897,,,,7.0037759983577415,7.491669611759584,,,,10.84393023942038,11.359935648310687,,,
8.833333333333334,0.05464845677817202,0.07514053033097479,,,,2.7544760102339554,3.17334401071552,,,,1.3280300809866323,3.540041354320826,,,,8.276985050414387,8.10695864597644,,,,5.133475446000117,5.101198195716756,,,,6.9554642160583136,7.4381031403482,,,,10.835862227380552,11.331728088441801,,,
8.866666666666667,0.054442735430324914,0.07490153685769739,,,,2.7091631873551685,3.1269841704299113,,,,1.3173664649407757,3.518283837151544,,,,8.26500258443079,8.093843402995057,,,,5.098864635377734,5.0837618381578835,,,,6.906767917540384,7.384268335297726,,,,10.825606065341972,11.301635285271821,,,
8.9,0.05424118753034594,0.0746638060553639,,,,2.6649629569706352,3.081647042500961,,,,1.306819873812802,3.496560416214163,,,,8.251002904790221,8.078930565796215,,,,5.063812223159897,5.065560614349572,,,,6.8577182891657955,7.330192676739581,,,,10.813209757158173,11.269710609523186,,,
8.933333333333334,0.054043522836176375,0.07442713089012655,,,,2.621848194398102,3.0373109326365846,,,,1.296385330757017,3.474870972017025,,,,8.23503285026496,8.062261226206212,,,,5.028354607186447,5.046619997577273,,,,6.808345724657973,7.275902891539988,,,,10.798721471163828,11.236007031795168,,,
8.966666666666667,0.053849463905117405,0.07419131440482661,,,,2.579792242623355,2.993954400196331,,,,1.2860582059997774,3.453215556471405,,,,8.217139923832589,8.043876994111171,,,,4.992527517861622,5.026965671564465,,,,6.758679827807591,7.221424960965266,,,,10.782189486147834,11.20057708929725,,,
9.0,0.053658745531625154,0.07395616952488873,,,,2.538768917468264,2.951556268400421,,,,1.2758341952538474,3.431594380703495,,,,8.197372208208064,8.023819931442587,,,,4.956365974272219,5.006623481252585,,,,6.708749415997566,7.166784128781032,,,,10.76366213987218,11.163472854885278,,,
9.033333333333333,0.05347111422782023,0.07372151886352007,,,,2.4987525116616847,2.910095633520475,,,,1.2657092992827768,3.410007803382856,,,,8.175778283740367,8.002132487905756,,,,4.919904244049617,4.985619384868018,,,,6.658582524496617,7.112004909747567,,,,10.743187780056136,11.124745908294932,,,
9.066666666666666,0.05328632774263983,0.0734871945258585,,,,2.4597177978796156,2.8695518731009844,,,,1.2556798045666495,3.388456319557868,,,,8.152407148736964,7.978857438498443,,,,4.8831758069181985,4.963979407364072,,,,6.608206411472869,7.057111098475944,,,,10.720814717745757,11.084447309471045,,,
9.1,0.053104154615908394,0.0732530379117961,,,,2.4216400308189954,2.8299046532595855,,,,1.2457422650215333,3.3669405499878557,,,,8.127308142269428,7.9540378228603945,,,,4.846213321862116,4.941729595317017,,,,6.557647563680755,7.002125778611402,,,,10.69659118299072,11.042627573895295,,,
