Distance (m),2 h,4 h,6 h,8 h,10 h,12 h
0.027655310621242483,7.40576995392582e-09,8.301574277933185e-07,1.942837550017985e-06,9.26936406695619e-07,2.435295305937105e-07,5.7553100263690334e-08
0.028056112224448898,6.971779337920149e-09,8.132880449379734e-07,1.9625271256397715e-06,9.674547329281706e-07,2.5802353898450793e-07,6.144327200447987e-08
0.02845691382765531,6.503898217226105e-09,7.935717791227563e-07,1.980848058836214e-06,1.0090318175984177e-06,2.733032655959397e-07,6.563646276957977e-08
0.028857715430861724,6.0214223611563135e-09,7.720624161876974e-07,1.998426004367402e-06,1.0518451092639624e-06,2.8951586729478796e-07,7.022575213339615e-08
0.029258517034068135,5.543647539023423e-09,7.498137419728281e-07,2.0158866169934237e-06,1.0960720564824054e-06,3.0680850094783473e-07,7.530421967033503e-08
0.02965931863727455,5.089869520140061e-09,7.278795423181786e-07,2.0338555514743706e-06,1.1418901078113498e-06,3.2532832342186234e-07,8.096494495480262e-08
0.03006012024048096,4.679384073818875e-09,7.073136030637798e-07,2.0529584625703297e-06,1.1894767118083952e-06,3.4522249158365255e-07,8.730100756120492e-08
0.030460921843687375,4.331486969372493e-09,6.891697100496622e-07,2.073821005041392e-06,1.2390093170311451e-06,3.6663816229998784e-07,9.440548706394813e-08
0.030861723446893786,4.045640925681725e-09,6.733040511063155e-07,2.0965297735134566e-06,1.291264054865836e-06,3.904424630860543e-07,1.0315477213102471e-07
0.0312625250501002,3.760438898882701e-09,6.56085955849066e-07,2.1194829630974083e-06,1.3481990248213443e-06,4.190673713347584e-07,1.1621420033834786e-07
0.031663326653306616,3.475744962818282e-09,6.378157378731812e-07,2.142702496340392e-06,1.4091197344207088e-06,4.5193060424487206e-07,1.3307557093269923e-07
0.03206412825651302,3.1984246958483264e-09,6.192267075923377e-07,2.1663987566072124e-06,1.4730848492344406e-06,4.881607957609848e-07,1.529208486863801e-07
0.03246492985971944,2.9353436763326763e-09,6.010521754202106e-07,2.190782127262675e-06,1.5391530348330547e-06,5.268865798276882e-07,1.7493199837169287e-07
0.03286573146292585,2.6933674826311884e-09,5.840254517704765e-07,2.216062991671584e-06,1.6063829567870624e-06,5.672365903895717e-07,1.982909847609388e-07
0.03326653306613227,2.479361693103716e-09,5.688798470568114e-07,2.2424517331987434e-06,1.6738332806669758e-06,6.083394613912257e-07,2.2217977262641958e-07
0.033667334669338675,2.3001918861101137e-09,5.563486716928914e-07,2.2701587352089573e-06,1.7405626720433065e-06,6.493238267772397e-07,2.4578032674043643e-07
0.03406813627254509,2.1627236400102267e-09,5.471652360923923e-07,2.2993943810670323e-06,1.8056297964865692e-06,6.893183204922052e-07,2.682746118752918e-07
0.034468937875751504,2.073822533163911e-09,5.420628506689901e-07,2.3303690541377715e-06,1.868093319567275e-06,7.274515764807119e-07,2.8884459280328694e-07
0.03486973947895792,2.0347723013621827e-09,5.413422094968107e-07,2.363190608113451e-06,1.9270517854710736e-06,7.635869504073168e-07,3.072158654696697e-07
0.035270541082164326,2.0068434217149195e-09,5.421046334035559e-07,2.3973388663394485e-06,1.9825201208732395e-06,8.02368503746455e-07,3.267837022999485e-07
0.03567134268537074,1.98138986081441e-09,5.436115950565038e-07,2.433033004867302e-06,2.035399386014238e-06,8.43631583405728e-07,3.4761648365794966e-07
0.036072144288577156,1.958544132886556e-09,5.457900034409717e-07,2.470669720926294e-06,2.0866238602021683e-06,8.859820753432002e-07,3.6889303386453816e-07
0.03647294589178357,1.9384387521572608e-09,5.485667675422771e-07,2.5106457117457037e-06,2.137127822745132e-06,9.280258655169367e-07,3.8979217724057896e-07
0.03687374749498998,1.921206232852426e-09,5.51868796345737e-07,2.5533576745548125e-06,2.187845552951229e-06,9.683688398850015e-07,4.0949273810693693e-07
0.03727454909819639,1.9069790891979527e-09,5.55622998836669e-07,2.5992023065829024e-06,2.2397113301285624e-06,1.0056168844054613e-06,4.2717354078447793e-07
0.03767535070140281,1.8958898354197445e-09,5.597562840003904e-07,2.648576305059254e-06,2.293659433585232e-06,1.0383758850363804e-06,4.4201340959406667e-07
0.03807615230460922,1.8880709857437026e-09,5.641955608222185e-07,2.7018763672131485e-06,2.3506241426293384e-06,1.065251727735824e-06,4.5319116885656863e-07
0.03847695390781563,1.8836550543957298e-09,5.688677382874705e-07,2.7594991902738655e-06,2.4115397365689815e-06,1.0848502984618565e-06,4.5988564289284826e-07
0.038877755511022044,1.8831393656598934e-09,5.738573991942311e-07,2.8229275288529868e-06,2.4779390039950297e-06,1.0960815322307816e-06,4.613075908096542e-07
0.03927855711422846,1.893724399735034e-09,5.821699943057679e-07,2.9131431057392447e-06,2.5615962769602675e-06,1.1043459714266034e-06,4.5773341638841465e-07
0.039679358717434866,1.9163429918600516e-09,5.941602959025641e-07,3.0313467371193496e-06,2.6621467258412772e-06,1.112040940650106e-06,4.500672435876232e-07
0.04008016032064128,1.948582045713238e-09,6.087452897521022e-07,3.168617386410559e-06,2.7734699862866143e-06,1.1190935013755882e-06,4.390889732920133e-07
0.040480961923847696,1.9880284649728857e-09,6.248419616218633e-07,3.3160340170301253e-06,2.88944569394483e-06,1.125430715077349e-06,4.2557850638631924e-07
0.04088176352705411,2.0322691533172852e-09,6.413672972793289e-07,3.4646755923952993e-06,3.0039534844644766e-06,1.1309796432296863e-06,4.10315743755275e-07
0.04128256513026052,2.0788910144247287e-09,6.572382824919802e-07,3.6056210759233334e-06,3.1108729934941047e-06,1.1356673473068993e-06,3.9408058628361474e-07
0.04168336673346693,2.1254809519735093e-09,6.713719030272995e-07,3.729949431031485e-06,3.204083856682271e-06,1.1394208887832867e-06,3.7765293485607195e-07
0.04208416833667335,2.169625869641918e-09,6.82685144652768e-07,3.828739621137003e-06,3.2774657096775264e-06,1.142167329133147e-06,3.6181269035738093e-07
